Year,Mun_Code,Mun,Area_km2,Pop_Density
1996,01001,Alegría-Dulantzi,19.9313,61.91
1998,01001,Alegría-Dulantzi,19.9313,63.17
1999,01001,Alegría-Dulantzi,19.9313,66.68
2000,01001,Alegría-Dulantzi,19.9313,70.29
2001,01001,Alegría-Dulantzi,19.9313,74.56
2002,01001,Alegría-Dulantzi,19.9313,80.18
2003,01001,Alegría-Dulantzi,19.9313,85.64
2004,01001,Alegría-Dulantzi,19.9313,96.28
2005,01001,Alegría-Dulantzi,19.9313,102.75
2006,01001,Alegría-Dulantzi,19.9313,109.83
2007,01001,Alegría-Dulantzi,19.9313,115.65
2008,01001,Alegría-Dulantzi,19.9313,123.78
2009,01001,Alegría-Dulantzi,19.9313,131.45
2010,01001,Alegría-Dulantzi,19.9313,136.17
2011,01001,Alegría-Dulantzi,19.9313,140.63
2012,01001,Alegría-Dulantzi,19.9313,143.94
2013,01001,Alegría-Dulantzi,19.9313,143.99
2014,01001,Alegría-Dulantzi,19.9313,146.75
2015,01001,Alegría-Dulantzi,19.9313,144.6
2016,01001,Alegría-Dulantzi,19.9313,143.29
2017,01001,Alegría-Dulantzi,19.9313,146.15
2018,01001,Alegría-Dulantzi,19.9313,144.85
2019,01001,Alegría-Dulantzi,19.9313,144.3
2020,01001,Alegría-Dulantzi,19.9313,147.26
2021,01001,Alegría-Dulantzi,19.9313,146.75
2022,01001,Alegría-Dulantzi,19.9313,148.51
2023,01001,Alegría-Dulantzi,19.9313,149.26
2024,01001,Alegría-Dulantzi,19.9313,149.06
1996,01002,Amurrio,96.1148,101.52
1998,01002,Amurrio,96.1148,101.47
1999,01002,Amurrio,96.1148,101.47
2000,01002,Amurrio,96.1148,101.13
2001,01002,Amurrio,96.1148,100.87
2002,01002,Amurrio,96.1148,99.82
2003,01002,Amurrio,96.1148,99.41
2004,01002,Amurrio,96.1148,98.97
2005,01002,Amurrio,96.1148,99.8
2006,01002,Amurrio,96.1148,100.21
2007,01002,Amurrio,96.1148,102.78
2008,01002,Amurrio,96.1148,104.32
2009,01002,Amurrio,96.1148,104.97
2010,01002,Amurrio,96.1148,104.56
2011,01002,Amurrio,96.1148,104.19
2012,01002,Amurrio,96.1148,105.23
2013,01002,Amurrio,96.1148,105.49
2014,01002,Amurrio,96.1148,106.53
2015,01002,Amurrio,96.1148,106.78
2016,01002,Amurrio,96.1148,106.75
2017,01002,Amurrio,96.1148,107.07
2018,01002,Amurrio,96.1148,107.02
2019,01002,Amurrio,96.1148,107.68
2020,01002,Amurrio,96.1148,106.79
2021,01002,Amurrio,96.1148,107.24
2022,01002,Amurrio,96.1148,106.97
2023,01002,Amurrio,96.1148,107.3
2024,01002,Amurrio,96.1148,107.48
1996,01003,Aramaio,73.0331,18.42
1998,01003,Aramaio,73.0331,18.69
1999,01003,Aramaio,73.0331,18.8
2000,01003,Aramaio,73.0331,19.39
2001,01003,Aramaio,73.0331,19.81
2002,01003,Aramaio,73.0331,20.25
2003,01003,Aramaio,73.0331,20.39
2004,01003,Aramaio,73.0331,20.36
2005,01003,Aramaio,73.0331,20.58
2006,01003,Aramaio,73.0331,20.4
2007,01003,Aramaio,73.0331,20.44
2008,01003,Aramaio,73.0331,20.39
2009,01003,Aramaio,73.0331,20.52
2010,01003,Aramaio,73.0331,20.5
2011,01003,Aramaio,73.0331,20.48
2012,01003,Aramaio,73.0331,20.72
2013,01003,Aramaio,73.0331,20.42
2014,01003,Aramaio,73.0331,20.24
2015,01003,Aramaio,73.0331,20.79
2016,01003,Aramaio,73.0331,20.57
2017,01003,Aramaio,73.0331,20.48
2018,01003,Aramaio,73.0331,20.31
2019,01003,Aramaio,73.0331,20.09
2020,01003,Aramaio,73.0331,19.74
2021,01003,Aramaio,73.0331,19.94
2022,01003,Aramaio,73.0331,19.59
2023,01003,Aramaio,73.0331,19.29
2024,01003,Aramaio,73.0331,18.91
1996,01004,Artziniega,27.2643,47.42
1998,01004,Artziniega,27.2643,48.3
1999,01004,Artziniega,27.2643,49.08
2000,01004,Artziniega,27.2643,49.08
2001,01004,Artziniega,27.2643,48.82
2002,01004,Artziniega,27.2643,49.11
2003,01004,Artziniega,27.2643,50.65
2004,01004,Artziniega,27.2643,53.22
2005,01004,Artziniega,27.2643,54.98
2006,01004,Artziniega,27.2643,59.82
2007,01004,Artziniega,27.2643,62.43
2008,01004,Artziniega,27.2643,64.7
2009,01004,Artziniega,27.2643,66.68
2010,01004,Artziniega,27.2643,66.68
2011,01004,Artziniega,27.2643,67.6
2012,01004,Artziniega,27.2643,68.26
2013,01004,Artziniega,27.2643,67.19
2014,01004,Artziniega,27.2643,66.68
2015,01004,Artziniega,27.2643,67.08
2016,01004,Artziniega,27.2643,67.49
2017,01004,Artziniega,27.2643,67.08
2018,01004,Artziniega,27.2643,67.16
2019,01004,Artziniega,27.2643,66.79
2020,01004,Artziniega,27.2643,66.02
2021,01004,Artziniega,27.2643,66.35
2022,01004,Artziniega,27.2643,66.39
2023,01004,Artziniega,27.2643,67.19
2024,01004,Artziniega,27.2643,68.07
1996,01006,Armiñón,12.9624,10.72
1998,01006,Armiñón,12.9624,11.19
1999,01006,Armiñón,12.9624,11.8
2000,01006,Armiñón,12.9624,11.26
2001,01006,Armiñón,12.9624,12.19
2002,01006,Armiñón,12.9624,12.88
2003,01006,Armiñón,12.9624,13.11
2004,01006,Armiñón,12.9624,12.5
2005,01006,Armiñón,12.9624,13.5
2006,01006,Armiñón,12.9624,13.81
2007,01006,Armiñón,12.9624,15.35
2008,01006,Armiñón,12.9624,15.28
2009,01006,Armiñón,12.9624,15.97
2010,01006,Armiñón,12.9624,17.36
2011,01006,Armiñón,12.9624,17.67
2012,01006,Armiñón,12.9624,17.82
2013,01006,Armiñón,12.9624,18.28
2014,01006,Armiñón,12.9624,19.29
2015,01006,Armiñón,12.9624,18.82
2016,01006,Armiñón,12.9624,18.05
2017,01006,Armiñón,12.9624,18.44
2018,01006,Armiñón,12.9624,16.9
2019,01006,Armiñón,12.9624,17.51
2020,01006,Armiñón,12.9624,17.2
2021,01006,Armiñón,12.9624,17.82
2022,01006,Armiñón,12.9624,18.13
2023,01006,Armiñón,12.9624,17.9
2024,01006,Armiñón,12.9624,19.06
1996,01008,Arratzua-Ubarrundia,57.4872,12.96
1998,01008,Arratzua-Ubarrundia,57.4872,13.24
1999,01008,Arratzua-Ubarrundia,57.4872,13.15
2000,01008,Arratzua-Ubarrundia,57.4872,12.63
2001,01008,Arratzua-Ubarrundia,57.4872,12.92
2002,01008,Arratzua-Ubarrundia,57.4872,12.59
2003,01008,Arratzua-Ubarrundia,57.4872,12.47
2004,01008,Arratzua-Ubarrundia,57.4872,13.83
2005,01008,Arratzua-Ubarrundia,57.4872,14.04
2006,01008,Arratzua-Ubarrundia,57.4872,14.99
2007,01008,Arratzua-Ubarrundia,57.4872,15.31
2008,01008,Arratzua-Ubarrundia,57.4872,15.69
2009,01008,Arratzua-Ubarrundia,57.4872,16.02
2010,01008,Arratzua-Ubarrundia,57.4872,15.88
2011,01008,Arratzua-Ubarrundia,57.4872,16.54
2012,01008,Arratzua-Ubarrundia,57.4872,17.1
2013,01008,Arratzua-Ubarrundia,57.4872,17.06
2014,01008,Arratzua-Ubarrundia,57.4872,17.29
2015,01008,Arratzua-Ubarrundia,57.4872,17.34
2016,01008,Arratzua-Ubarrundia,57.4872,17.03
2017,01008,Arratzua-Ubarrundia,57.4872,16.98
2018,01008,Arratzua-Ubarrundia,57.4872,17.08
2019,01008,Arratzua-Ubarrundia,57.4872,17.05
2020,01008,Arratzua-Ubarrundia,57.4872,17.12
2021,01008,Arratzua-Ubarrundia,57.4872,17.69
2022,01008,Arratzua-Ubarrundia,57.4872,17.93
2023,01008,Arratzua-Ubarrundia,57.4872,18.14
2024,01008,Arratzua-Ubarrundia,57.4872,18.21
1996,01009,Asparrena,65.0606,23.69
1998,01009,Asparrena,65.0606,23.73
1999,01009,Asparrena,65.0606,23.99
2000,01009,Asparrena,65.0606,24.25
2001,01009,Asparrena,65.0606,24.36
2002,01009,Asparrena,65.0606,24.5
2003,01009,Asparrena,65.0606,24.24
2004,01009,Asparrena,65.0606,24.3
2005,01009,Asparrena,65.0606,24.68
2006,01009,Asparrena,65.0606,24.33
2007,01009,Asparrena,65.0606,24.25
2008,01009,Asparrena,65.0606,24.52
2009,01009,Asparrena,65.0606,25.27
2010,01009,Asparrena,65.0606,25.82
2011,01009,Asparrena,65.0606,25.88
2012,01009,Asparrena,65.0606,26.1
2013,01009,Asparrena,65.0606,25.68
2014,01009,Asparrena,65.0606,25.39
2015,01009,Asparrena,65.0606,25.31
2016,01009,Asparrena,65.0606,25.05
2017,01009,Asparrena,65.0606,25.21
2018,01009,Asparrena,65.0606,25.25
2019,01009,Asparrena,65.0606,24.81
2020,01009,Asparrena,65.0606,24.95
2021,01009,Asparrena,65.0606,25.1
2022,01009,Asparrena,65.0606,25.16
2023,01009,Asparrena,65.0606,24.73
2024,01009,Asparrena,65.0606,24.76
1996,01010,Ayala/Aiara,140.9618,14.24
