Mun_Code;Municipality;Comarca;Province;CCAA;Population_2024;Area_km2;Distance_km;Distance_class;Growth_2018_2021_pct;Growth_2021_2024_pct
31908;Lekunberri;NORD OCCIDENTAL;Navarra;Comunidad Foral de Navarra;1697.0;6.7;30.01;30-60 km;5.8;4.5
17161;Sant Feliu de Pallerols;GARROTXA;Girona;Cataluña/Catalunya;1692.0;33.99;30.04;30-60 km;8.41;16.21
41051;Huévar del Aljarafe;EL ALJARAFE;Sevilla;Andalucía;3360.0;57.61;30.08;30-60 km;6.28;7.38
08152;Orpí;ANOIA;Barcelona;Cataluña/Catalunya;178.0;15.39;30.09;30-60 km;13.24;15.58
05139;Muñogrande;AVILA;Ávila;Castilla y León;74.0;16.16;30.13;30-60 km;5.97;4.23
17225;Vilamacolum;ALT EMPORDA;Girona;Cataluña/Catalunya;376.0;5.67;30.13;30-60 km;18.91;1.35
28159;Valdemaqueda;GUADARRAMA;Madrid;Comunidad de Madrid;833.0;51.71;30.26;30-60 km;3.68;5.58
49228;Valdefinjas;DUERO BAJO;Zamora;Castilla y León;59.0;16.31;30.29;30-60 km;21.28;3.51
31036;Arróniz;TIERRA ESTELLA;Navarra;Comunidad Foral de Navarra;1054.0;55.17;30.31;30-60 km;0.19;0.48
46217;Rotglà i Corberà;LA COSTERA DE JATIVA;València/Valencia;Comunitat Valenciana;1158.0;6.27;30.32;30-60 km;2.87;1.05
47157;Sardón de Duero;SURESTE;Valladolid;Castilla y León;607.0;19.66;30.34;30-60 km;3.26;0.83
26052;Cordovín;RIOJA ALTA;La Rioja;La Rioja;159.0;4.59;30.34;30-60 km;0.64;0.63
34022;Baltanás;EL CERRATO;Palencia;Castilla y León;1228.0;158.76;30.35;30-60 km;0.25;0.74
12088;Pavías;PALANCIA;Castelló/Castellón;Comunitat Valenciana;73.0;14.42;30.44;30-60 km;16.13;1.39
45134;Portillo de Toledo;TORRIJOS;Toledo;Castilla-La Mancha;2346.0;19.94;30.46;30-60 km;1.6;5.53
16089;Fuentes;SERRANIA MEDIA;Cuenca;Castilla-La Mancha;468.0;107.59;30.46;30-60 km;2.64;0.43
