Mun_Code;Municipality;Population_2024;Distance_to_50k_city_km;Distance_class;Var_2011_2017_pct;Var_2018_2021_pct;Var_2021_2024_pct;Municipality_size;Comarca;Province;CCAA
45080;Illán de Vacas;2,0;25,16;<=30 km;0,0;-40,0;-33,33;<1,000 (very small rural);TALAVERA;Toledo;Castilla-La Mancha
26173;Villarroya;4,0;48,92;30-60 km;-44,44;0,0;-20,0;<1,000 (very small rural);RIOJA BAJA;La Rioja;La Rioja
26154;Torremontalbo;7,0;19,73;<=30 km;-14,29;10,0;-36,36;<1,000 (very small rural);RIOJA ALTA;La Rioja;La Rioja
19031;Angón;7,0;54,44;30-60 km;-35,0;-20,0;-12,5;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42157;La Riba de Escalote;8,0;85,32;>60 km;-38,89;22,22;-27,27;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
19310;Valtablado del Río;8,0;66,19;>60 km;-30,77;0,0;0,0;<1,000 (very small rural);ALCARRIA BAJA;Guadalajara;Castilla-La Mancha
19284;Torremochuela;8,0;62,31;>60 km;-8,33;-27,27;0,0;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
19079;Castilnuevo;8,0;66,99;>60 km;-18,18;-33,33;33,33;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
42206;Villanueva de Gormaz;8,0;92,23;>60 km;-22,22;0,0;0,0;<1,000 (very small rural);BURGO DE OSMA;Soria;Castilla y León
26153;Torre en Cameros;8,0;24,95;<=30 km;-16,67;0,0;-20,0;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
26104;Navajún;8,0;62,56;>60 km;-33,33;-33,33;-20,0;<1,000 (very small rural);SIERRA RIOJA BAJA;La Rioja;La Rioja
42196;Valdeprado;8,0;62,16;>60 km;-50,0;-33,33;33,33;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
42108;Maján;9,0;111,5;>60 km;-7,14;-30,77;0,0;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
09446;Villamedianilla;9,0;39,84;30-60 km;-7,69;-16,67;-10,0;<1,000 (very small rural);PISUERGA;Burgos;Castilla y León
19231;Rebollosa de Jadraque;10,0;57,21;30-60 km;-40,0;-16,67;0,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42148;Quiñonería;10,0;95,01;>60 km;-40,0;0,0;25,0;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
26045;Cellorigo;10,0;36,05;30-60 km;-7,69;-16,67;0,0;<1,000 (very small rural);RIOJA ALTA;La Rioja;La Rioja
09184;Jaramillo Quemado;10,0;39,22;30-60 km;40,0;25,0;0,0;<1,000 (very small rural);DEMANDA;Burgos;Castilla y León
19270;Tordelrábano;11,0;72,91;>60 km;-30,0;-23,08;10,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19219;Pinilla de Molina;11,0;52,88;30-60 km;-48,0;-9,09;10,0;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
42098;Herrera de Soria;11,0;84,86;>60 km;-35,71;0,0;22,22;<1,000 (very small rural);PINARES;Soria;Castilla y León
42140;Portillo de Soria;12,0;96,82;>60 km;-11,11;0,0;-14,29;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
19116;Estriégana;12,0;71,96;>60 km;-5,56;-23,08;20,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
26077;Hornillos de Cameros;12,0;28,17;<=30 km;40,0;22,22;-45,45;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
26161;Valdemadera;12,0;61,69;>60 km;-11,11;25,0;20,0;<1,000 (very small rural);SIERRA RIOJA BAJA;La Rioja;La Rioja
44018;Almohaja;12,0;65,14;>60 km;-37,93;-12,5;-14,29;<1,000 (very small rural);SERRANIA DE ALBARRACIN;Teruel;Aragón
19198;Negredo;13,0;50,75;30-60 km;-43,48;0,0;-23,53;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42082;Estepa de San Juan;13,0;59,23;30-60 km;-36,36;50,0;44,44;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
19049;Bañuelos;13,0;76,21;>60 km;-36,0;-7,14;0,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42106;La Losilla;13,0;67,41;>60 km;-7,14;-14,29;8,33;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
42193;Valdelagua del Cerro;13,0;69,77;>60 km;5,56;-40,0;8,33;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
44203;Salcedillo;13,0;81,12;>60 km;112,5;-35,29;18,18;<1,000 (very small rural);SERRANIA DE MONTALBAN;Teruel;Aragón
19118;Fuembellida;14,0;59,5;30-60 km;-50,0;62,5;7,69;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
19104;Chequilla;14,0;46,32;30-60 km;-5,56;0,0;-17,65;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
05034;Blasconuño de Matacabras;14,0;60,31;>60 km;-26,32;-12,5;0,0;<1,000 (very small rural);AREVALO-MADRIGAL;Ávila;Castilla y León
19048;Baños de Tajo;14,0;57,0;30-60 km;-20,0;23,53;-33,33;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
16020;Arandilla del Arroyo;14,0;47,37;30-60 km;-43,48;-30,0;100,0;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
26181;Zarzosa;14,0;33,32;30-60 km;-6,67;-7,14;7,69;<1,000 (very small rural);SIERRA RIOJA BAJA;La Rioja;La Rioja
42052;Caracena;14,0;83,3;>60 km;-35,0;-6,67;0,0;<1,000 (very small rural);BURGO DE OSMA;Soria;Castilla y León
19010;Alcolea de las Peñas;14,0;71,75;>60 km;-36,84;33,33;-12,5;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19095;Condemios de Abajo;14,0;63,99;>60 km;-34,78;-28,57;40,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42202;Velilla de los Ajos;15,0;108,53;>60 km;-38,24;-9,52;-21,05;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
42062;Cigudosa;15,0;67,7;>60 km;-51,22;11,11;-25,0;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
31071;Castillonuevo;15,0;50,43;30-60 km;0,0;5,88;-16,67;<1,000 (very small rural);PIRINEOS;Navarra;Comunidad Foral de Navarra
19199;Ocentejo;15,0;67,43;>60 km;-24,0;-5,56;-11,76;<1,000 (very small rural);ALCARRIA ALTA;Guadalajara;Castilla-La Mancha
19191;Monasterio;15,0;40,04;30-60 km;-16,67;0,0;7,14;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19019;Alique;15,0;44,72;30-60 km;-25,0;-6,25;0,0;<1,000 (very small rural);ALCARRIA BAJA;Guadalajara;Castilla-La Mancha
16275;Vindel;16,0;53,45;30-60 km;-44,44;10,0;45,45;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
16025;Arrancacepas;16,0;32,34;30-60 km;-15,15;-23,08;-20,0;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
19250;Santiuste;16,0;58,48;30-60 km;0,0;-16,67;6,67;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19038;Arbeteta;16,0;62,32;>60 km;-50,98;-23,08;-20,0;<1,000 (very small rural);ALCARRIA BAJA;Guadalajara;Castilla-La Mancha
26086;Ledesma de la Cogolla;16,0;26,24;<=30 km;-31,82;20,0;-11,11;<1,000 (very small rural);RIOJA ALTA;La Rioja;La Rioja
34033;Boada de Campos;16,0;26,02;<=30 km;-15,0;5,88;-11,11;<1,000 (very small rural);CAMPOS;Palencia;Castilla y León
26067;Gallinero de Cameros;16,0;35,15;30-60 km;-11,54;5,56;-15,79;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
19097;Congostrina;17,0;48,19;30-60 km;-50,0;-25,0;41,67;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19134;Herrería;17,0;76,61;>60 km;-12,5;36,84;-34,62;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
44003;Aguatón;17,0;82,43;>60 km;-5,0;-5,56;0,0;<1,000 (very small rural);CUENCA DEL JILOCA;Teruel;Aragón
50041;Bagüés;17,0;62,17;>60 km;-47,62;33,33;6,25;<1,000 (very small rural);EGEA DE LOS CABALLEROS;Zaragoza;Aragón
40224;Ventosilla y Tejadilla;17,0;50,92;30-60 km;-44,44;-15,0;0,0;<1,000 (very small rural);SEGOVIA;Segovia;Castilla y León
26048;Cidamón;17,0;33,55;30-60 km;-33,33;0,0;-29,17;<1,000 (very small rural);RIOJA ALTA;La Rioja;La Rioja
09317;Rezmondo;17,0;48,64;30-60 km;25,0;10,53;-19,05;<1,000 (very small rural);PISUERGA;Burgos;Castilla y León
40006;Aldealcorvo;18,0;49,83;30-60 km;0,0;-13,64;-5,26;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
09046;Bascuñana;18,0;48,45;30-60 km;-34,15;-16,0;-14,29;<1,000 (very small rural);RIOJA ALTA;Burgos;Castilla y León
34137;Pozo de Urama;18,0;41,19;30-60 km;-16,67;-12,5;-14,29;<1,000 (very small rural);CAMPOS;Palencia;Castilla y León
