Mun_Code,Mun_Name,Comarca_Code,Comarca_Name,Prov_Code,Prov_Name,CCAA_Code,CCAA_Name,Category,Total_Years,Years_With_Data,Years_Missing,Pct_Missing,Missing_Years
6903,Guadiana,601,ALBURQUERQUE,6,Badajoz,11,Extremadura,Hombres,28,12,16,57.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012"
6903,Guadiana,601,ALBURQUERQUE,6,Badajoz,11,Extremadura,Mujeres,28,12,16,57.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012"
6903,Guadiana,601,ALBURQUERQUE,6,Badajoz,11,Extremadura,Total,28,12,16,57.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012"
18077,Fornes,1807,ALHAMA,18,Granada,1,Andalucía,Hombres,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
18077,Fornes,1807,ALHAMA,18,Granada,1,Andalucía,Mujeres,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
18077,Fornes,1807,ALHAMA,18,Granada,1,Andalucía,Total,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
18106,Játar,1807,ALHAMA,18,Granada,1,Andalucía,Hombres,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
18106,Játar,1807,ALHAMA,18,Granada,1,Andalucía,Mujeres,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
18106,Játar,1807,ALHAMA,18,Granada,1,Andalucía,Total,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
25913,Riu de Cerdanya,2503,ALTO URGEL,25,Lleida,9,Cataluña/Catalunya,Hombres,28,26,2,7.14,"1996,1998"
