Mun_Code,Mun,pop_1996_2024 (k=28)
1001,Alegría-Dulantzi,140.7617504051864
1002,Amurrio,5.86185693789711
1003,Aramaio,2.676579925650558
1004,Artziniega,43.54215003866976
1006,Armiñón,77.6978417266187
1008,Arratzua-Ubarrundia,40.53691275167785
1009,Asparrena,4.542504866969501
1010,Ayala/Aiara,46.513944223107565
1011,Baños de Ebro/Mañueta,-13.134328358208954
1013,Barrundia,58.664259927797836
1014,Berantevilla,13.895781637717123
1016,Bernedo,1.1111111111111112
1017,Campezo/Kanpezu,-2.164111812443643
1018,Zigoitia,74.45600756859035
1019,Kripan,-11.0
1020,Kuartango,18.950437317784257
1021,Elburgo/Burgelu,234.375
1022,Elciego,3.691639522258415
1023,Elvillar/Bilar,-8.333333333333332
1027,Iruraiz-Gauna,35.53921568627451
1028,Labastida/Bastida,44.63955637707948
1030,Lagrán,-10.526315789473683
1031,Laguardia,3.865073787772312
1032,Lanciego/Lantziego,5.384615384615385
1033,Lapuebla de Labarca,-0.23228803716608595
1034,Leza,15.384615384615385
1036,Laudio/Llodio,-9.697182744940491
1037,Arraia-Maeztu,20.175438596491226
1039,Moreda de Álava/Moreda Araba,-24.02826855123675
1041,Navaridas,-15.859030837004406
1042,Okondo,55.064935064935064
1043,Oyón-Oion,52.230151650312216
1044,Peñacerrada-Urizaharra,20.318725099601593
1046,Erriberagoitia/Ribera Alta,65.0390625
1047,Ribera Baja/Erriberabeitia,209.46236559139786
1049,Añana,-30.049261083743843
1051,Agurain/Salvatierra,35.800842992623814
1052,Samaniego,-4.918032786885246
1053,San Millán/Donemiliaga,4.196816208393632
1054,Urkabustaiz,74.88038277511961
1055,Valdegovía/Gaubea,21.404303510758776
1056,Harana/Valle de Arana,-41.53005464480874
1057,Villabuena de Álava/Eskuernaga,-15.942028985507244
1058,Legutio,59.115179252479024
1059,Vitoria-Gasteiz,20.414126609221693
1060,Yécora/Iekora,4.330708661417323
1061,Zalduondo,42.64705882352941
1062,Zambrana,23.809523809523807
1063,Zuia,63.47346657477602
1901,Iruña Oka/Iruña de Oca,124.31930693069306
1902,Lantarón,11.700844390832328
2001,Abengibre,-25.515210991167812
2002,Alatoz,-27.232796486090777
2003,Albacete,21.09750415510539
2004,Albatana,-26.9018743109151
2005,Alborea,-15.288220551378446
2006,Alcadozo,-20.7663782447466
2007,Alcalá del Júcar,-28.534868841970567
2008,Alcaraz,-27.515286270150085
2009,Almansa,3.2926362360148045
2010,Alpera,-3.9524011899702503
2011,Ayna,-44.01473296500921
2012,Balazote,7.989105764866092
2013,Balsa de Ves,-54.074074074074076
2014,"Ballestero, El",-30.58823529411765
2015,Barrax,-5.811015664477009
2016,Bienservida,-42.016806722689076
2017,Bogarra,-48.34254143646409
2018,Bonete,-22.08835341365462
2019,"Bonillo, El",-21.272127212721273
2020,Carcelén,-27.958579881656803
2021,Casas de Juan Núñez,2.950075642965204
2022,Casas de Lázaro,-31.648351648351646
2023,Casas de Ves,-43.03534303534304
2024,Casas-Ibáñez,13.610492452363276
2025,Caudete,16.930975470621792
2026,Cenizate,6.3244729605866175
2027,Corral-Rubio,-37.21413721413722
2028,Cotillas,-46.38297872340426
2029,Chinchilla de Monte-Aragón,46.7174119885823
2030,Elche de la Sierra,-10.32418952618454
2031,Férez,-25.675675675675674
2032,Fuensanta,-28.428927680798004
2033,Fuente-Álamo,-1.3066557778685177
2034,Fuentealbilla,-2.3344191096634095
2035,"Gineta, La",26.500240038406147
2036,Golosalvo,-39.285714285714285
2037,Hellín,18.4120518043119
2038,"Herrera, La",-28.199052132701425
2039,Higueruela,-12.01848998459168
2040,Hoya-Gonzalo,-22.987012987012985
2041,Jorquera,-39.73063973063973
2042,Letur,-33.477633477633475
2043,Lezuza,-29.114611624117327
2044,Liétor,-39.533560864618885
2045,Madrigueras,3.2129403944161314
2046,Mahora,4.867573371510379
2047,Masegoso,-35.55555555555556
2048,Minaya,-21.72686230248307
2049,Molinicos,-45.637119113573405
2050,Montalvos,-47.05882352941176
2051,Montealegre del Castillo,-5.341384115188109
2052,Motilleja,23.475046210720887
2053,Munera,-18.546065259117086
2054,Navas de Jorquera,-1.2962962962962963
2055,Nerpio,-40.35269709543569
2056,Ontur,-23.450789793438638
2057,Ossa de Montiel,-22.94853963838665
2058,Paterna del Madera,-45.585874799357946
2059,Peñascosa,-27.43362831858407
2060,Peñas de San Pedro,14.35257410296412
2061,Pétrola,-32.073544433094995
2062,Povedilla,-47.38255033557047
2063,Pozohondo,-18.733647305075877
