Mun_Code;Mun_Name;Comarca_Code;Comarca_Name;Prov_Code;Prov_Name;CCAA_Code;CCAA_Name
09298;Quintanilla San García;902.0;BUREBA-EBRO;09;Burgos;07;Castilla y León
09301;Quintanilla Vivar;908.0;ARLANZON;09;Burgos;07;Castilla y León
09302;Rabanera del Pinar;903.0;DEMANDA;09;Burgos;07;Castilla y León
05105;Hoyos del Espino;504.0;GREDOS;05;Ávila;07;Castilla y León
05106;Hoyos de Miguel Muñoz;504.0;GREDOS;05;Ávila;07;Castilla y León
05107;Hurtumpascual;502.0;AVILA;05;Ávila;07;Castilla y León
05108;Junciana;503.0;BARCO AVILA-PIEDRAHITA;05;Ávila;07;Castilla y León
05109;Langa;501.0;AREVALO-MADRIGAL;05;Ávila;07;Castilla y León
05114;Madrigal de las Altas Torres;501.0;AREVALO-MADRIGAL;05;Ávila;07;Castilla y León
05116;Malpartida de Corneja;503.0;BARCO AVILA-PIEDRAHITA;05;Ávila;07;Castilla y León
05117;Mamblas;501.0;AREVALO-MADRIGAL;05;Ávila;07;Castilla y León
09309;Regumiel de la Sierra;903.0;DEMANDA;09;Burgos;07;Castilla y León
09310;Reinoso;902.0;BUREBA-EBRO;09;Burgos;07;Castilla y León
09311;Retuerta;905.0;ARLANZA;09;Burgos;07;Castilla y León
09312;La Revilla y Ahedo;903.0;DEMANDA;09;Burgos;07;Castilla y León
21071;Valdelarco;2101.0;SIERRA;21;Huelva;01;Andalucía
21072;Valverde del Camino;2103.0;ANDEVALO ORIENTAL;21;Huelva;01;Andalucía
21073;Villablanca;2102.0;ANDEVALO OCCIDENTAL;21;Huelva;01;Andalucía
21074;Villalba del Alcor;2105.0;CONDADO CAMPIÑA;21;Huelva;01;Andalucía
49184;Samir de los Caños;4903.0;ALISTE;49;Zamora;07;Castilla y León
49185;San Agustín del Pozo;4904.0;CAMPOS-PAN;49;Zamora;07;Castilla y León
05118;Mancera de Arriba;502.0;AVILA;05;Ávila;07;Castilla y León
18914;Valderrubio;1801.0;DE LA VEGA;18;Granada;01;Andalucía
18915;Domingo Pérez de Granada;1805.0;IZNALLOZ;18;Granada;01;Andalucía
18916;Torrenueva Costa;1808.0;LA COSTA;18;Granada;01;Andalucía
44106;Fortanete;4406.0;MAESTRAZGO;44;Teruel;02;Aragón
44107;Foz-Calanda;4403.0;BAJO ARAGON;44;Teruel;02;Aragón
49193;San Pedro de Ceque;4902.0;BENAVENTE Y LOS VALLES;49;Zamora;07;Castilla y León
44108;La Fresneda;4403.0;BAJO ARAGON;44;Teruel;02;Aragón
44111;Fuentes Calientes;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
44112;Fuentes Claras;4401.0;CUENCA DEL JILOCA;44;Teruel;02;Aragón
44116;Gargallo;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
44123;Hinojosa de Jarque;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
44124;La Hoz de la Vieja;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
44125;Huesa del Común;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
44126;La Iglesuela del Cid;4406.0;MAESTRAZGO;44;Teruel;02;Aragón
21002;Aljaraque;2104.0;COSTA;21;Huelva;01;Andalucía
21003;El Almendro;2102.0;ANDEVALO OCCIDENTAL;21;Huelva;01;Andalucía
21004;Almonaster la Real;2101.0;SIERRA;21;Huelva;01;Andalucía
21005;Almonte;2106.0;CONDADO LITORAL;21;Huelva;01;Andalucía
21006;Alosno;2102.0;ANDEVALO OCCIDENTAL;21;Huelva;01;Andalucía
21007;Aracena;2101.0;SIERRA;21;Huelva;01;Andalucía
21008;Aroche;2101.0;SIERRA;21;Huelva;01;Andalucía
05119;Manjabálago y Ortigosa de Rioalmar;502.0;AVILA;05;Ávila;07;Castilla y León
05120;Marlín;502.0;AVILA;05;Ávila;07;Castilla y León
05126;Mesegar de Corneja;503.0;BARCO AVILA-PIEDRAHITA;05;Ávila;07;Castilla y León
05127;Mijares;506.0;VALLE DEL TIETAR;05;Ávila;07;Castilla y León
21019;Campofrío;2103.0;ANDEVALO ORIENTAL;21;Huelva;01;Andalucía
21026;Cortelazor;2101.0;SIERRA;21;Huelva;01;Andalucía
21027;Cumbres de Enmedio;2101.0;SIERRA;21;Huelva;01;Andalucía
21028;Cumbres de San Bartolomé;2101.0;SIERRA;21;Huelva;01;Andalucía
21029;Cumbres Mayores;2101.0;SIERRA;21;Huelva;01;Andalucía
21030;Chucena;2105.0;CONDADO CAMPIÑA;21;Huelva;01;Andalucía
21031;Encinasola;2101.0;SIERRA;21;Huelva;01;Andalucía
21032;Escacena del Campo;2105.0;CONDADO CAMPIÑA;21;Huelva;01;Andalucía
