Entity_Code;Entity_Name;NATCODE;Anomaly_Type;Admin_Status;Comarca_Code;Comarca_Name;Prov_Code;Prov_Name;CCAA_Code;CCAA_Name
53000;Parzonería general de Guipuzkoa y Araba/Álava;34162053000;Shared_Land;Shared_Land;2005.0;GOIERRI;20;Gipuzkoa;16;País Vasco/Euskadi
53001;Comunidad de la Sierra Brava de Badaya;34160153001;Shared_Land;Shared_Land;103.0;VALLES ALAVESES;01;Araba/Álava;16;País Vasco/Euskadi
53002;Parzoneria de Entzia;34160153002;Shared_Land;Shared_Land;104.0;LLANADA ALAVESA;01;Araba/Álava;16;País Vasco/Euskadi
53003;Dehesa de Santiago;34080253003;Shared_Land;Shared_Land;203.0;SIERRA ALCARAZ;02;Albacete;08;Castilla-La Mancha
53004;Comunidad de Arauzo de Miel y Huerta del Rey;34070953004;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53005;Comunidad de Los Ausines y Revilla del Campo;34070953005;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53006;Comunidad de Barbadillo de Herreros y Vallejimeno (E.L.M.);34070953006;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53007;Comunidad de 09076, 09290, 09578, 09606 y 09822;34070953007;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53008;Comunidad de 09076, 09290, 09578 y 09822;34070953008;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53009;Cabeza Alta;34070953009;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53010;Comunidad de 09076, 09150 y 09578;34070953010;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53011;Comunidad de 09076, 09498 y 09578;34070953011;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53012;Comunidad de 09076, 09578, 09606 y 09822;34070953012;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53013;Comunidad de Barbadillo del Pez y Jaramillo de la Fuente;34070953013;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53014;Comunidad de Barbadillo del Pez y Riocavado de la Sierra;34070953014;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53015;Comunidad de Bascuñana y Viloria de Rioja;34070953015;Shared_Land;Shared_Land;902.0;BUREBA-EBRO;09;Burgos;07;Castilla y León
53016;Monte Revenga;34070953016;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53017;Comunidad de Canicosa de la Sierra y Vilviestre del Pinar;34070953017;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53018;Comunidad de Canicosa de la Sierra y Casarejos;34070953018;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53019;Soncarazo;34070953019;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53020;Comunidad de Fuente Carazo;34070953020;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53021;Ledanía de 09162, 09290, 09412 y 09606;34070953021;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53022;Dehesa de San Felices;34070953022;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53023;Comunidad de Cilleruelo de Arriba y Pineda Trasmonte;34070953023;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
